INDEX,YEAR,MN,DT,..MAX,..MIN,AW,..R/F
43321,1995,4,27,38.4,24.2,7,0
43321,1995,4,28,37.7,25.4,7,0
43321,1995,4,29,37,23.8,8,0.1
43321,1995,4,30,36.9,23.6,6,0
43321,1995,5,1,33.7,22,7,0
43321,1995,5,2,35.9,24.4,7,0
43321,1995,5,3,36.8,24.6,7,0
43321,1995,5,4,36.9,25.2,6,0
43321,1995,5,5,35.6,24,8,0
43321,1995,5,6,35.3,22.8,7,0.6
43321,1995,5,7,31.8,21.8,8,40.6
43321,1995,5,8,31.3,22.2,7,16.1
43321,1995,5,9,31.3,23.2,10,0
43321,1995,5,10,31.4,22.6,12,1.7
43321,1995,5,11,30.8,22.6,16,0
43321,1995,5,12,33.2,23.8,13,0
43321,1995,5,13,32.8,23.4,14,0
43321,1995,5,14,34.1,23.7,15,0
43321,1995,5,15,31.4,24.6,15,0
43321,1995,5,16,33.5,24.2,14,0
43321,1995,5,17,33.6,23.3,14,0
43321,1995,5,18,33.8,23.2,13,0
43321,1995,5,19,34.6,23.1,11,0
43321,1995,5,20,35.6,22.9,9,0
43321,1995,5,21,35.9,23.9,9,0
43321,1995,5,22,37.3,23.3,10,0
43321,1995,5,23,35,22.9,12,0
43321,1995,5,24,35.4,23.9,12,0
43321,1995,5,25,35.2,19.8,10,30.4
43321,1995,5,26,33.1,22.7,6,4.3
43321,1995,5,27,33.9,24.2,8,0
43321,1995,5,28,33.8,24.2,9,0
43321,1995,5,29,34.4,24.1,10,0
43321,1995,5,30,34.5,24.8,10,0
43321,1995,5,31,34.6,24.6,11,0
43321,1995,6,1,35,24,13,0
43321,1995,6,2,35,25.4,14,0
43321,1995,6,3,34.2,21.2,15,28.8
43321,1995,6,4,32.6,24.9,13,0
43321,1995,6,5,33.4,24.5,15,0
43321,1995,6,6,33.3,24.2,14,0
43321,1995,6,7,33.8,24.1,15,0
43335,1995,6,8,31.8,24.6,,2
43321,1995,6,9,33,23.6,14,0
43321,1995,6,10,32.8,23.4,16,0
43321,1995,6,11,30.4,23.8,12,0
43321,1995,6,12,30,22.8,11,2.1
43321,1995,6,13,32.7,21.5,15,4
43321,1995,6,14,30.4,21.7,18,0.2
43321,1995,6,15,31.3,22,16,0
43321,1995,6,16,30.8,22.8,16,0
43321,1995,6,17,31.3,22.6,17,0
43321,1995,6,18,31.3,22.4,16,0
43321,1995,6,19,33,21.5,13,0
43321,1995,6,20,32.6,23,14,0
43321,1995,6,21,33.2,23.1,15,0
43321,1995,6,22,31.1,22.5,15,0
43321,1995,6,23,30.6,22.8,13,0
43321,1995,6,24,32,22.2,13,0
43321,1995,6,25,32.8,23.1,12,0
43321,1995,6,26,33.7,23,11,0
43321,1995,6,27,33.4,22.2,15,0
43321,1995,6,28,32.8,23.2,15,0
43321,1995,6,29,31.9,23,15,0
43321,1995,6,30,31.8,23.5,15,0
43321,1995,7,1,31,22.2,14,0.7
43321,1995,7,2,32.4,22,14,0
43321,1995,7,3,31.9,21.3,13,1.6
43321,1995,7,4,32.4,22.6,15,0
43321,1995,7,5,33.5,22.6,14,0
43321,1995,7,6,32.6,21.5,17,0
43321,1995,7,7,32.8,21.5,17,0.7
43321,1995,7,8,34.5,21.2,15,0
43321,1995,7,9,31.6,21.8,15,0
43321,1995,7,10,32,21.9,16,0
43321,1995,7,11,30.3,21.7,13,3.5
43321,1995,7,12,28.1,22,11,0.5
43321,1995,7,13,31.3,21.6,14,0
43321,1995,7,14,31.2,22.2,13,0
43321,1995,7,15,31.3,22,14,1.7
43321,1995,7,16,31.8,22.6,16,0
43321,1995,7,17,30.2,20.8,14,5.6
43321,1995,7,18,29,22.5,11,4.6
43321,1995,7,19,30,22,13,0.4
43321,1995,7,20,30.2,21.6,15,0
43321,1995,7,21,31.4,23,11,0
43321,1995,7,22,31.4,22.2,13,0
43321,1995,7,23,31.6,22,13,0
43321,1995,7,24,28.8,22.3,7,8.9
43321,1995,7,25,32.8,21,9,1
43321,1995,7,26,29.8,21.2,14,0
43321,1995,7,27,32.8,22.7,13,0
43321,1995,7,28,31.2,22,14,0
43321,1995,7,29,30,21.3,12,0
43321,1995,7,30,31.8,21.8,13,0
43321,1995,7,31,31.6,21.6,15,0
43321,1995,8,1,32.4,21.4,16,0
43321,1995,8,2,32.4,22.3,14,0
43321,1995,8,3,32.2,22.4,14,0
43321,1995,8,4,32.6,22.2,14,0
43321,1995,8,5,32.8,22,14,0
43321,1995,8,6,33.6,23,12,0
43321,1995,8,7,34,22.6,13,1.2
